id,label
0,0
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,1
20,0
21,1
22,0
23,1
24,1
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,1
34,0
35,0
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,1
45,1
46,1
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,1
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,0
73,1
74,1
75,0
76,0
77,1
78,0
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,1
90,1
91,0
92,0
93,1
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,0
109,0
110,1
111,0
112,1
113,1
114,0
115,1
116,0
117,0
118,1
119,0
120,0
121,1
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,1
138,0
139,0
140,1
141,0
142,1
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,1
158,1
159,1
160,0
161,0
162,0
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,0
171,0
172,1
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,1
181,1
182,0
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,1
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,1
223,0
224,0
225,1
226,0
227,0
228,1
229,0
230,0
231,0
232,1
233,0
234,1
235,1
236,1
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,1
259,0
260,0
261,1
262,0
263,1
264,0
265,0
266,1
267,1
268,0
269,1
270,1
271,1
272,0
273,0
274,1
275,1
276,0
277,0
278,1
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,0
294,1
295,1
296,1
297,1
298,0
299,1
300,1
301,1
302,0
303,1
304,0
305,0
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,1
332,0
333,0
334,1
335,0
336,0
337,1
338,1
339,0
340,0
341,1
342,0
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,0
351,0
352,0
353,1
354,0
355,1
356,0
357,0
358,1
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,1
367,0
368,0
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,0
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,0
389,0
390,1
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,0
399,1
400,0
401,0
402,0
403,1
404,1
405,0
406,1
407,0
408,1
409,0
410,1
411,0
412,0
413,1
414,0
415,1
416,0
417,1
418,1
419,1
420,0
421,0
422,0
423,1
424,1
425,1
426,0
427,1
428,1
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,1
446,1
447,0
448,1
449,0
450,1
451,0
452,1
453,1
454,1
455,1
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,1
467,0
468,1
469,0
470,1
471,1
472,0
473,1
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,0
483,0
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,1
497,1
498,0
499,1
500,0
501,1
502,1
503,0
504,1
505,1
506,0
507,0
508,0
509,0
510,0
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,1
520,0
521,0
522,1
523,1
524,0
525,0
526,0
527,0
528,1
529,1
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,1
538,1
539,0
540,0
541,0
542,1
543,1
544,1
545,0
546,1
547,1
548,0
549,0
550,0
551,1
552,1
553,1
554,0
555,0
556,0
557,1
558,0
559,1
560,1
561,0
562,1
563,1
564,0
565,1
566,0
567,0
568,1
569,0
570,0
571,1
572,1
573,0
574,1
575,0
576,1
577,0
578,1
579,1
580,1
581,0
582,1
583,1
584,1
585,1
586,0
587,1
588,1
589,1
590,0
591,0
592,1
593,1
594,1
595,1
596,0
597,0
598,0
599,1
600,1
601,0
602,0
603,1
604,0
605,0
606,1
607,1
608,1
609,0
610,1
611,1
612,1
613,0
614,0
615,1
616,1
617,0
618,1
619,0
620,1
621,0
622,0
623,1
624,0
625,1
626,1
627,1
628,1
629,0
630,0
631,1
632,0
633,0
634,0
635,1
636,0
637,1
638,1
639,1
640,1
641,0
642,1
643,1
644,0
645,0
646,1
647,1
648,0
649,0
650,1
651,1
652,0
653,1
654,0
655,0
656,1
657,0
658,1
659,1
660,1
661,1
662,1
663,0
664,1
665,0
666,0
667,0
668,0
669,0
670,1
671,0
672,1
673,0
674,1
675,0
676,1
677,1
678,0
679,1
680,0
681,0
682,0
683,1
684,0
685,0
686,1
687,1
688,1
689,0
690,0
691,1
692,0
693,1
694,1
695,1
696,0
697,1
698,0
699,0
700,1
701,0
702,1
703,0
704,1
705,1
706,0
707,1
708,0
709,0
710,1
711,0
712,0
713,1
714,1
715,0
716,1
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,1
726,0
727,1
728,1
729,0
730,0
731,1
732,1
733,1
734,0
735,1
736,0
737,0
738,1
739,0
740,1
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,1
749,1
750,1
751,0
752,1
753,0
754,0
755,1
756,1
757,0
758,1
759,0
760,1
761,1
762,1
763,1
764,0
765,1
766,0
767,1
768,1
769,1
770,0
771,1
772,1
773,1
774,1
775,0
776,1
777,0
778,0
779,0
780,1
781,0
782,1
783,0
784,1
785,0
786,0
787,1
788,1
789,0
790,0
791,0
792,0
793,0
794,1
795,0
796,1
797,0
798,1
799,1
800,0
801,0
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,0
810,0
811,1
812,0
813,1
814,1
815,1
816,1
817,1
818,1
819,0
820,1
821,1
822,1
823,1
824,0
825,1
826,1
827,0
828,0
829,1
830,0
831,0
832,0
833,1
834,0
835,1
836,0
837,1
838,1
839,0
840,0
841,0
842,1
843,0
844,0
845,1
846,0
847,0
848,0
849,1
850,1
851,1
852,1
853,0
854,1
855,1
856,1
857,0
858,0
859,0
860,0
861,1
862,0
863,0
864,1
865,1
866,0
867,1
868,0
869,0
870,0
871,1
872,0
873,1
874,0
875,1
876,0
877,1
878,1
879,1
880,0
881,1
882,0
883,1
884,0
885,0
886,1
887,1
888,1
889,0
890,0
891,1
892,1
893,1
894,0
895,0
896,0
897,0
898,1
899,0
900,0
901,0
902,1
903,0
904,1
905,1
906,0
907,0
908,0
909,0
910,1
911,0
912,0
913,1
914,1
915,0
916,1
917,0
918,0
919,0
920,0
921,1
922,0
923,0
924,0
925,0
926,1
927,0
928,0
929,0
930,0
931,0
932,1
933,0
934,0
935,1
936,1
937,0
938,0
939,1
940,0
941,0
942,0
943,1
944,1
945,1
946,0
947,0
948,1
949,0
950,1
951,0
952,0
953,0
954,0
955,1
956,1
957,0
958,1
959,0
960,1
961,1
962,1
963,1
964,0
965,0
966,1
967,1
968,0
969,1
970,0
971,0
972,0
973,1
974,0
975,1
976,0
977,1
978,0
979,1
980,0
981,1
982,1
983,0
984,1
985,0
986,0
987,1
988,0
989,0
990,1
991,0
992,0
993,1
994,1
995,0
996,1
997,1
998,0
999,0
1000,0
1001,1
1002,0
1003,0
1004,0
1005,1
1006,0
1007,0
1008,1
1009,1
1010,1
1011,1
1012,0
1013,0
1014,0
1015,0
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,1
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,1
1032,1
1033,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,0
1040,1
1041,1
1042,0
1043,1
1044,1
1045,1
1046,0
1047,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,1
1054,1
1055,0
1056,0
1057,0
1058,1
1059,1
1060,1
