id,value
id_0,5.0
id_1,14.0
id_2,15.0
id_3,7.0
id_4,8.0
id_5,10.0
id_6,14.0
id_7,11.0
id_8,10.0
id_9,12.0
id_10,12.0
id_11,4.0
id_12,18.0
id_13,17.0
id_14,9.0
id_15,4.0
id_16,11.0
id_17,17.0
id_18,7.0
id_19,4.0
id_20,15.0
id_21,11.0
id_22,12.0
id_23,11.0
id_24,9.0
id_25,13.0
id_26,8.0
id_27,22.0
id_28,6.0
id_29,18.0
id_30,11.0
id_31,4.0
id_32,17.0
id_33,7.0
id_34,12.0
id_35,15.0
id_36,11.0
id_37,11.0
id_38,20.0
id_39,9.0
id_40,10.0
id_41,15.0
id_42,11.0
id_43,25.0
id_44,8.0
id_45,15.0
id_46,6.0
id_47,4.0
id_48,11.0
id_49,8.0
id_50,9.0
id_51,10.0
id_52,7.0
id_53,16.0
id_54,9.0
id_55,10.0
id_56,6.0
id_57,6.0
id_58,10.0
id_59,8.0
id_60,7.0
id_61,14.0
id_62,7.0
id_63,18.0
id_64,6.0
id_65,8.0
id_66,7.0
id_67,1.0
id_68,12.0
id_69,13.0
id_70,13.0
id_71,18.0
id_72,15.0
id_73,7.0
id_74,11.0
id_75,7.0
id_76,13.0
id_77,13.0
id_78,9.0
id_79,4.0
id_80,9.0
id_81,20.0
id_82,12.0
id_83,16.0
id_84,15.0
id_85,10.0
id_86,9.0
id_87,7.0
id_88,5.0
id_89,16.0
id_90,10.0
id_91,14.0
id_92,4.0
id_93,18.0
id_94,19.0
id_95,7.0
id_96,15.0
id_97,7.0
id_98,12.0
id_99,12.0
id_100,4.0
id_101,4.0
id_102,2.0
id_103,6.0
id_104,7.0
id_105,8.0
id_106,11.0
id_107,11.0
id_108,3.0
id_109,10.0
id_110,12.0
id_111,5.0
id_112,13.0
id_113,6.0
id_114,16.0
id_115,7.0
id_116,8.0
id_117,15.0
id_118,15.0
id_119,11.0
id_120,55.0
id_121,12.0
id_122,13.0
id_123,11.0
id_124,7.0
id_125,13.0
id_126,8.0
id_127,13.0
id_128,11.0
id_129,22.0
id_130,20.0
id_131,12.0
id_132,19.0
id_133,9.0
id_134,9.0
id_135,8.0
id_136,7.0
id_137,16.0
id_138,25.0
id_139,7.0
id_140,9.0
id_141,9.0
id_142,12.0
id_143,17.0
id_144,12.0
id_145,16.0
id_146,5.0
id_147,14.0
id_148,15.0
id_149,12.0
id_150,5.0
id_151,6.0
id_152,13.0
id_153,3.0
id_154,8.0
id_155,27.0
id_156,5.0
id_157,12.0
id_158,6.0
id_159,10.0
id_160,10.0
id_161,6.0
id_162,5.0
id_163,9.0
id_164,17.0
id_165,11.0
id_166,0.0
id_167,5.0
id_168,16.0
id_169,16.0
id_170,11.0
id_171,16.0
id_172,8.0
id_173,8.0
id_174,29.0
id_175,19.0
id_176,9.0
id_177,16.0
id_178,10.0
id_179,8.0
id_180,8.0
id_181,10.0
id_182,26.0
id_183,7.0
id_184,7.0
id_185,12.0
id_186,9.0
id_187,14.0
id_188,7.0
id_189,30.0
id_190,15.0
id_191,11.0
id_192,22.0
id_193,12.0
id_194,13.0
id_195,9.0
id_196,7.0
id_197,5.0
id_198,11.0
id_199,8.0
id_200,7.0
id_201,4.0
id_202,21.0
id_203,10.0
id_204,7.0
id_205,7.0
id_206,7.0
id_207,9.0
id_208,16.0
id_209,4.0
id_210,17.0
id_211,7.0
id_212,10.0
id_213,12.0
id_214,7.0
id_215,8.0
id_216,16.0
id_217,3.0
id_218,4.0
id_219,10.0
id_220,8.0
id_221,12.0
id_222,11.0
id_223,9.0
id_224,9.0
id_225,16.0
id_226,9.0
id_227,7.0
id_228,8.0
id_229,15.0
id_230,8.0
id_231,10.0
id_232,16.0
id_233,13.0
id_234,15.0
id_235,9.0
id_236,12.0
id_237,10.0
id_238,33.0
id_239,5.0
